"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Application","Application_specific","Mode","Tribopositive","Tribonegative","Electrode","Open_circuit_voltage","Short_circuit_current","Power_density","Current_density","Charge_density","Thickness","Area","Operating_frequency"
"Jian, Gang","2024-03-01","Biodegradable triboelectric nanogenerator as a implantable power source for embedded medicine devices","https://www.nature.com/articles/s41427-023-00528-2","10.1038/s41427-023-00528-2","","","contact-separation","","Kapton","","368 V","190 nA","0.256 W m−2","","","","1 cm × 1 cm","5 Hz"
"Wang, Jie","2017-07-20","Achieving ultrahigh triboelectric charge density for efficient energy harvesting","https://www.nature.com/articles/s41467-017-00131-4","10.1038/s41467-017-00131-4","energy harvester","use of energy from motion","","","","copper","180 V","","50 W m−2","","1003 µC m−2","","5 cm × 5 cm","2 Hz"
"Cheng, Li","2018-09-14","A self-improving triboelectric nanogenerator with improved charge density and increased charge accumulation speed","https://www.nature.com/articles/s41467-018-06045-z","10.1038/s41467-018-06045-z","","","contact-separation","polyamide","polyvinylidene fluoride","carbon","1140 V","82.6 μA","","","490 μC m−2","electrode 150 μm ","","0.1 Hz"
"Cheng, Jia","2018-09-13","Triboelectric microplasma powered by mechanical stimuli","https://www.nature.com/articles/s41467-018-06198-x","10.1038/s41467-018-06198-x","","","freestanding","nylon","FEP","copper","1 kV","","","","","","","44 Hz"
"Xiong, Jiaqing","2018-10-15","Skin-touch-actuated textile-based triboelectric nanogenerator with black phosphorus for durable biomechanical energy harvesting","https://www.nature.com/articles/s41467-018-06759-0","10.1038/s41467-018-06759-0","energy harvester","use of energy from motion","single-electrode","","","silver","1860 V","","0.52 mW cm−2","1.1 µA cm−2","","","7.0×7.0 cm2","6 Hz"
"Gong, Wei","2019-02-20","Continuous and scalable manufacture of amphibious energy yarns and textiles","https://www.nature.com/articles/s41467-019-08846-2","10.1038/s41467-019-08846-2","energy harvester","use of energy from water/fluid","contact-separation","","silicone rubber","stainless steel","22.9 V","","","","","","","0.5 Hz"
"Liu, Wenlin","2019-03-29","Integrated charge excitation triboelectric nanogenerator","https://www.nature.com/articles/s41467-019-09464-8","10.1038/s41467-019-09464-8","","","contact-separation","","Kapton","Cu","","","38.2 W m−2","","2.5 mC m−2","","5 cm2","6 Hz"
"Ouyang, Han","2019-04-23","Symbiotic cardiac pacemaker","https://www.nature.com/articles/s41467-019-09851-1","10.1038/s41467-019-09851-1","energy harvester","use of energy from water/fluid","","","","Au","187 V","19.5 μA","110 mW m−2","","","","","100 Hz"
"Parida, Kaushik","2019-05-14","Extremely stretchable and self-healing conductor based on thermoplastic elastomer for all-three-dimensional printed triboelectric nanogenerator","https://www.nature.com/articles/s41467-019-10061-y","10.1038/s41467-019-10061-y","energy harvester","","lateral sliding","","","aluminum","","","40 μW cm−2","","","","3×3 cm2","1 Hz"
"Nie, Jinhui","2019-05-22","Power generation from the interaction of a liquid droplet and a liquid membrane","https://www.nature.com/articles/s41467-019-10232-x","10.1038/s41467-019-10232-x","","","single-electrode","nylon","polytetrafluoroethylene","","240 V","60 nA","","","","","",""
"Zou, Yang","2019-06-19","A bionic stretchable nanogenerator for underwater sensing and energy harvesting","https://www.nature.com/articles/s41467-019-10433-4","10.1038/s41467-019-10433-4","energy harvester","use of energy from water/fluid","contact-separation","","polydimethylsiloxane","","170 V","100 nA","62.5 μW m−2","","","","","1.6 Hz"
"Luo, Jianjun","2019-11-26","Flexible and durable wood-based triboelectric nanogenerators for self-powered sensing in athletic big data analytics","https://www.nature.com/articles/s41467-019-13166-6","10.1038/s41467-019-13166-6","sensor","tactile/motion sensor","","wood","","Cu","81 V","1.8 μA","57 mW m−2","","36 μC m−2","","4×4 cm2","1 Hz"
"Zhang, Chi","2020-01-02","Conjunction of triboelectric nanogenerator with induction coils as wireless power sources and self-powered wireless sensors","https://www.nature.com/articles/s41467-019-13653-w","10.1038/s41467-019-13653-w","sensor","tactile/motion sensor","contact-separation","polyamide","polydimethylsiloxane","nickel","","","","","","","20×20 mm2","4 Hz"
"Gu, Long","2020-02-25","Enhancing the current density of a piezoelectric nanogenerator using a three-dimensional intercalation electrode","https://www.nature.com/articles/s41467-020-14846-4","10.1038/s41467-020-14846-4","sensor","tactile/motion sensor","","","PVDF","Al","20 V","329 μA","","290 μA cm−2","1690 μC m−2","","1.2 cm2",""
"Liu, Wenlin","2020-04-20","Switched-capacitor-convertors based on fractal design for output power management of triboelectric nanogenerator","https://www.nature.com/articles/s41467-020-15373-y","10.1038/s41467-020-15373-y","","","","","","Al","200 V","","960 W m−2","17.7 mA m−2","","","","1.5 Hz"
"Nutting, Darren","2020-06-16","Heterostructures formed through abraded van der Waals materials","https://www.nature.com/articles/s41467-020-16717-4","10.1038/s41467-020-16717-4","","","contact-separation","","polydimethylsiloxane","platinum","15 V","0.38 µA","","","","","6 m2",""
"Zhang, Hemin","2020-06-26","Employing a MEMS plasma switch for conditioning high-voltage kinetic energy harvesters","https://www.nature.com/articles/s41467-020-17019-5","10.1038/s41467-020-17019-5","energy harvester","use of energy from water/fluid","","aluminum","polytetrafluoroethylene","aluminium","18 V","","","","","","","1.7 Hz"
"Khan, Hareem","2020-07-10","Liquid metal-based synthesis of high performance monolayer SnS piezoelectric nanogenerators","https://www.nature.com/articles/s41467-020-17296-0","10.1038/s41467-020-17296-0","energy harvester","","","","","silver","300 mV","160 pA","","","","","","5 Hz"
"Dong, Chaoqun","2020-07-15","High-efficiency super-elastic liquid metal based triboelectric fibers and textiles","https://www.nature.com/articles/s41467-020-17345-8","10.1038/s41467-020-17345-8","energy harvester","use of energy from water/fluid","single-electrode","","polydimethylsiloxane","","490 V","180 nA","","","10 μC m−2","","","4 Hz"
"Chen, Chen","2020-08-18","Micro triboelectric ultrasonic device for acoustic energy transfer and signal communication","https://www.nature.com/articles/s41467-020-17842-w","10.1038/s41467-020-17842-w","sensor","tactile/motion sensor","","nylon","polydimethylsiloxane","gold","16.8 mV","","","","","","",""
"Wang, Huamei","2020-08-21","Pumping up the charge density of a triboelectric nanogenerator by charge-shuttling","https://www.nature.com/articles/s41467-020-17891-1","10.1038/s41467-020-17891-1","energy harvester","use of energy from water/fluid","contact-separation","","silicone rubber","Al","850 V","","30.24 W m−3","","1.85 mC m−2","","","0.67 Hz"
"He, Wencong","2020-08-26","Boosting output performance of sliding mode triboelectric nanogenerator by charge space-accumulation effect","https://www.nature.com/articles/s41467-020-18086-4","10.1038/s41467-020-18086-4","energy harvester","use of energy from motion","contact-separation","nylon","fluorinated ethylene propylene","Al","","","8 W m−2","","1.63 mC m−2","electrode 50 µm ","11.27 cm2","1 Hz"
"Liu, Sicheng","2020-12-02","A high-efficiency bioinspired photoelectric-electromechanical integrated nanogenerator","https://www.nature.com/articles/s41467-020-19987-0","10.1038/s41467-020-19987-0","energy harvester","use of energy from motion","","","PDMS","","124.2 V","5.1 mA","17.23 mW cm−2","221.6 μA cm−2","","","9 cm2","1 Hz"
"Zhao, Zhihao","2020-12-03","Rationally patterned electrode of direct-current triboelectric nanogenerators for ultrahigh effective surface charge density","https://www.nature.com/articles/s41467-020-20045-y","10.1038/s41467-020-20045-y","","","","","PVDF","copper","33 V","65 µA","","170 μA m−2","5.4 mC m−2","","10 cm2",""
"Zhang, Qian","2021-01-27","Shadow enhanced self-charging power system for wave and solar energy harvesting from the ocean","https://www.nature.com/articles/s41467-021-20919-9","10.1038/s41467-021-20919-9","energy harvester","use of energy from water/fluid","single-electrode","aluminum","polydimethylsiloxane","carbon","359.8 mV","","718 μW cm−2","43 μA cm−2","","","7.5 cm2",""
"Petritz, Andreas","2021-04-23","Imperceptible energy harvesting device and biomedical sensor based on ultraflexible ferroelectric transducers and organic diodes","https://www.nature.com/articles/s41467-021-22663-6","10.1038/s41467-021-22663-6","energy harvester","use of energy from motion","","","silicone rubber","aluminium","5.5 V","0.9 µA","3.2 mW cm−3","","67 mC m−2","","0.5 cm2","1 Hz"
"Li, Chengyu","2021-05-19","Sensing of joint and spinal bending or stretching via a retractable and wearable badge reel","https://www.nature.com/articles/s41467-021-23207-8","10.1038/s41467-021-23207-8","sensor","tactile/motion sensor","freestanding","human skin","Kapton","Cu","","","","","","","",""
"Huo, Zheng-Yang","2021-06-17","Triboelectrification induced self-powered microbial disinfection using nanowire-enhanced localized electric field","https://www.nature.com/articles/s41467-021-24028-5","10.1038/s41467-021-24028-5","sensor","tactile/motion sensor","contact-separation","","","copper","104 V","62 µA","125 W/m2","5 mA/cm2","","","","30 Hz"
"Cheng, Bolang","2021-08-06","High performance temperature difference triboelectric nanogenerator","https://www.nature.com/articles/s41467-021-25043-2","10.1038/s41467-021-25043-2","sensor","tactile/motion sensor","","polyamide","polytetrafluoroethylene","Ag","858 V","123.3 μA","","480.3 μA cm−2","58.8 μC m−2","electrode 20 μm tribonegative layer 100 μm ","","0.8 Hz"
"Long, Li","2021-08-03","High performance floating self-excited sliding triboelectric nanogenerator for micro mechanical energy harvesting","https://www.nature.com/articles/s41467-021-25047-y","10.1038/s41467-021-25047-y","energy harvester","use of energy from motion","contact-separation","","polytetrafluoroethylene","Al","","","","","71.53 μC m−2","electrode 4 mm ","23.3 cm2","2 Hz"
"Wu, Hao","2021-09-15","Achieving ultrahigh instantaneous power density of 10 MW/m2 by leveraging the opposite-charge-enhanced transistor-like triboelectric nanogenerator (OCT-TENG)","https://www.nature.com/articles/s41467-021-25753-7","10.1038/s41467-021-25753-7","","","","polycarbonate","fluorinated ethylene propylene","carbon","","2.7 mA","790 mW·m−2·Hz−1","","1.5 mC/m2","","25 cm2",""
"Li, Mengjiao","2022-02-17","Filling the gap between topological insulator nanomaterials and triboelectric nanogenerators","https://www.nature.com/articles/s41467-022-28575-3","10.1038/s41467-022-28575-3","sensor","tactile/motion sensor","","nylon","fluorinated ethylene propylene","indium tin oxide","180 V","15 μA","180 mW m−2","","","","","4 Hz"
"Chen, Chaojie","2022-03-16","A method for quantitatively separating the piezoelectric component from the as-received “Piezoelectric” signal","https://www.nature.com/articles/s41467-022-29087-w","10.1038/s41467-022-29087-w","sensor","tactile/motion sensor","contact-separation","aluminum","fluorinated ethylene propylene","silver","","","","","","electrode 125 μm ","3×3 cm2","2.5 Hz"
"Zhao, Hongfa","2022-06-09","Underwater wireless communication via TENG-generated Maxwell’s displacement current","https://www.nature.com/articles/s41467-022-31042-8","10.1038/s41467-022-31042-8","","","contact-separation","aluminum","PVC","copper","28.5 V","60 μA","","","","","45 mm × 45 mm","16 Hz"
"Liu, Zhaoqi","2022-07-14","Fabrication of triboelectric polymer films via repeated rheological forging for ultrahigh surface charge density","https://www.nature.com/articles/s41467-022-31822-2","10.1038/s41467-022-31822-2","sensor","tactile/motion sensor","contact-separation","polyamide","FEP","Cu","","","720 mW·m−2","","352 μC·m−2","","","1 Hz"
"Zhang, Song","2022-07-18","Bioinspired asymmetric amphiphilic surface for triboelectric enhanced efficient water harvesting","https://www.nature.com/articles/s41467-022-31987-w","10.1038/s41467-022-31987-w","energy harvester","use of energy from water/fluid","","cellulose","fluorinated ethylene propylene","copper","103.2 V","","","","1.50 nC/cm2","","","1 Hz"
"Wei, Di","2022-08-24","Flexible iontronics based on 2D nanofluidic material","https://www.nature.com/articles/s41467-022-32699-x","10.1038/s41467-022-32699-x","energy harvester","use of energy from water/fluid","","fur","PVDF","silver","10 V","613 μA","28 mW cm−3","","","","403.5 m2","3 Hz"
"Sun, Zhongda","2022-09-05","Augmented tactile-perception and haptic-feedback rings as human-machine interfaces aiming for immersive interactions","https://www.nature.com/articles/s41467-022-32745-8","10.1038/s41467-022-32745-8","sensor","tactile/motion sensor","","human skin","silicone rubber","silver","","","","","","","","230 Hz"
"Lu, Ye","2022-09-09","Liquid-liquid triboelectric nanogenerator based on the immiscible interface of an aqueous two-phase system","https://www.nature.com/articles/s41467-022-33086-2","10.1038/s41467-022-33086-2","","","contact-separation","nylon","PVDF","aluminum","3.92 V","","0.06 W/m2","","2 C/m2","","",""
"Li, Zhou","2022-10-26","Aqueous hybrid electrochemical capacitors with ultra-high energy density approaching for thousand-volts alternating current line filtering","https://www.nature.com/articles/s41467-022-34082-2","10.1038/s41467-022-34082-2","","","single-electrode","","polytetrafluoroethylene","gold","","","","50 mA cm−2","","electrode 50 μm ","0.5 cm × 0.5 cm","60 Hz"
"Jiang, Fan","2022-11-05","Ion rectification based on gel polymer electrolyte ionic diode","https://www.nature.com/articles/s41467-022-34429-9","10.1038/s41467-022-34429-9","","","","","polytetrafluoroethylene","tin oxide","1.5 V","","","0.10 μA/cm2","","","","1 Hz"
"Yang, Yuan","2022-11-14","Improved pharmacodynamics of epidermal growth factor via microneedles-based self-powered transcutaneous electrical stimulation","https://www.nature.com/articles/s41467-022-34716-5","10.1038/s41467-022-34716-5","sensor","tactile/motion sensor","","hair","polydimethylsiloxane","copper","20 V","1 μA","","","","electrode 50 nm ","","2 Hz"
"Liu, Yaqian","2022-12-23","Self-powered high-sensitivity all-in-one vertical tribo-transistor device for multi-sensing-memory-computing","https://www.nature.com/articles/s41467-022-35628-0","10.1038/s41467-022-35628-0","sensor","tactile/motion sensor","","","","mxene","1.71 V","","0.1 mW/cm2","5 mA/cm2","","","","1000 Hz"
"Shan, Liuting","2023-05-08","A sensory memory processing system with multi-wavelength synaptic-polychromatic light emission for multi-modal information recognition","https://www.nature.com/articles/s41467-023-38396-7","10.1038/s41467-023-38396-7","sensor","tactile/motion sensor","contact-separation","","PDMS","copper","30 V","","","","","electrode 60 nm ","","6.84 Hz"
"Zhang, Yuanxi","2023-07-22","Coaxially printed magnetic mechanical electrical hybrid structures with actuation and sensing functionalities","https://www.nature.com/articles/s41467-023-40109-z","10.1038/s41467-023-40109-z","sensor","tactile/motion sensor","","","PDMS","copper","","","335 mW/m2","","","","","1 Hz"
"Li, Jun","2023-10-17","Stretchable piezoelectric biocrystal thin films","https://www.nature.com/articles/s41467-023-42184-8","10.1038/s41467-023-42184-8","sensor","tactile/motion sensor","single-electrode","","polydimethylsiloxane","silver","","","","","","","","1 Hz"
"Liu, Zhuo","2024-01-13","A self-powered intracardiac pacemaker in swine model","https://www.nature.com/articles/s41467-023-44510-6","10.1038/s41467-023-44510-6","sensor","tactile/motion sensor","freestanding","POM","","gold","21.8 V","0.25 μA","2200 mW/m3","","","","","1.8 Hz"
"Lee, Jin Pyo","2024-01-15","Encoding of multi-modal emotional information via personalized skin-integrated wireless facial interface","https://www.nature.com/articles/s41467-023-44673-2","10.1038/s41467-023-44673-2","sensor","tactile/motion sensor","single-electrode","","PDMS","PEDOT","","","","","","tribonegative layer 100 μm ","","100 Hz"
"Shao, Beibei","2024-02-09","Large-area, untethered, metamorphic, and omnidirectionally stretchable multiplexing self-powered triboelectric skins","https://www.nature.com/articles/s41467-024-45611-6","10.1038/s41467-024-45611-6","sensor","tactile/motion sensor","freestanding","human skin","FEP","carbon black","64.7 V","280 nA","","","","electrode 1.0 mm ","25 cm × 25 cm",""
"Liu, Hongzhen","2024-02-19","A high-current hydrogel generator with engineered mechanoionic asymmetry","https://www.nature.com/articles/s41467-024-45931-7","10.1038/s41467-024-45931-7","energy harvester","use of energy from water/fluid","","cotton","","polypyrrole","","","475 mW m−2","","","electrode 50 μm ","29 cm2","0.125 Hz"
"Qiu, Renjie","2024-05-16","E-cardiac patch to sense and repair infarcted myocardium","https://www.nature.com/articles/s41467-024-48468-x","10.1038/s41467-024-48468-x","sensor","tactile/motion sensor","contact-separation","","PE","silver","21.98 mV","2.23 nA","0.16 µW/m2","","","","","5 Hz"
"Li, Yi","2024-07-17","Visualization and standardized quantification of surface charge density for triboelectric materials","https://www.nature.com/articles/s41467-024-49660-9","10.1038/s41467-024-49660-9","sensor","tactile/motion sensor","contact-separation","aluminum","silicone rubber","copper","140 V","","","","4 nC cm−2","","","5 Hz"
"Zhang, Weifeng","2024-07-09","Self-powered triboelectric-responsive microneedles with controllable release of optogenetically engineered extracellular vesicles for intervertebral disc degeneration repair","https://www.nature.com/articles/s41467-024-50045-1","10.1038/s41467-024-50045-1","sensor","tactile/motion sensor","contact-separation","human skin","silicone rubber","copper","25 V","","500 mW/m2","2 mA/cm2","600 mC/cm2","","","2 Hz"
"Li, Xiang","2024-07-23","Triboiontronics with temporal control of electrical double layer formation","https://www.nature.com/articles/s41467-024-50518-3","10.1038/s41467-024-50518-3","energy harvester","use of energy from water/fluid","","polyamide","polytetrafluoroethylene","","2.88 V","1035.74 μA","38.64 W/m2","","540.70 mC/m2","","1 cm2","1 Hz"
"Pan, Yuan Chao","2024-07-20","Self-powered and speed-adjustable sensor for abyssal ocean current measurements based on triboelectric nanogenerators","https://www.nature.com/articles/s41467-024-50581-w","10.1038/s41467-024-50581-w","sensor","tactile/motion sensor","single-electrode","fur","fluorinated ethylene propylene","","","","","","70 μC/m2","","","20 Hz"
"Lee, Geon","2024-08-02","Integrated triboelectric nanogenerator and radiative cooler for all-weather transparent glass surfaces","https://www.nature.com/articles/s41467-024-50872-2","10.1038/s41467-024-50872-2","","","","","fluorinated ethylene propylene","copper","317.57 V","","248.28 W m−2","","","electrode 150 nm ","","2.5 Hz"
"Lu, Ze-Qi","2024-08-02","Ocean wave energy harvesting with high energy density and self-powered monitoring system","https://www.nature.com/articles/s41467-024-50926-5","10.1038/s41467-024-50926-5","energy harvester","use of energy from water/fluid","","ABS","","","0.3 V","","81.1 W/m3","","","","","1.9 Hz"
"Wang, Yawei","2024-08-09","A rolling-mode triboelectric nanogenerator with multi-tunnel grating electrodes and opposite-charge-enhancement for wave energy harvesting","https://www.nature.com/articles/s41467-024-51245-5","10.1038/s41467-024-51245-5","energy harvester","use of energy from water/fluid","","nylon","","aluminum","1688.16 V","306.89 nA","","","","","","0.5 Hz"
"Zhong, Songjing","2024-09-16","Lattice expansion in ruthenium nanozymes improves catalytic activity and electro-responsiveness for boosting cancer therapy","https://www.nature.com/articles/s41467-024-52277-7","10.1038/s41467-024-52277-7","","","contact-separation","","","copper","50 V","3 µA","","","","","660.2020 m2","3 Hz"
"Jeong, Hong In","2025-01-20","Super elastic and negative triboelectric polymer matrix for high performance mechanoluminescent platforms","https://www.nature.com/articles/s41467-025-56007-5","10.1038/s41467-025-56007-5","sensor","tactile/motion sensor","","polycarbonate","polycarbonate","Al","195 V","","","","146.7 nC/cm2","","",""
"Lu, Xiao","2025-01-27","Triboelectric sensor gloves for real-time behavior identification and takeover time adjustment in conditionally automated vehicles","https://www.nature.com/articles/s41467-025-56169-2","10.1038/s41467-025-56169-2","sensor","audio sensor","lateral sliding","leather","","silver","","","","","","","3.5×3.5 cm2","20 Hz"
"Li, Fangming","2025-02-03","A self-powered soft triboelectric-electrohydrodynamic pump","https://www.nature.com/articles/s41467-025-56679-z","10.1038/s41467-025-56679-z","sensor","tactile/motion sensor","","","silicone rubber","copper","","30 mA","0.66 mW/cm³","","","tribonegative layer 100 μm ","",""
"Hu, Yunhao","2025-02-16","Solid-liquid interface charge transfer for generation of H2O2 and energy","https://www.nature.com/articles/s41467-025-57082-4","10.1038/s41467-025-57082-4","energy harvester","use of energy from water/fluid","contact-separation","","FEP","carbon","312.5 V","","400 kW/m3","","","","",""
"Xu, Zihan","2025-04-03","Intrapleural pressure-controlled piezo-catalytic nanozyme for the inhibition of malignant pleural effusion","https://www.nature.com/articles/s41467-025-58354-9","10.1038/s41467-025-58354-9","sensor","tactile/motion sensor","","hair","polytetrafluoroethylene","copper","33.48 V","3.12 µA","","","","","","10 Hz"
"Liu, Di","2025-05-20","Field emission effect in triboelectric nanogenerators","https://www.nature.com/articles/s41467-025-59927-4","10.1038/s41467-025-59927-4","energy harvester","","contact-separation","","polytetrafluoroethylene","copper","10 kV","","","","2000 µC m−2","tribonegative layer 3 mm ","4 cm2",""
"Liu, Mengmeng","2025-07-01","Recyclable self-secreting autonomous healing dielectrics for millisecond water quality sensing","https://www.nature.com/articles/s41467-025-59973-y","10.1038/s41467-025-59973-y","sensor","tactile/motion sensor","freestanding","cellulose","fluorinated ethylene propylene","aluminum","115.3 V","","0.93 W m−2","4.90 mA·m−2","","","","2 Hz"
"Zhao, Tiancong","2025-07-01","A pendulum-based nanogenerator for high-entropy wave energy harvesting","https://www.nature.com/articles/s41467-025-60443-8","10.1038/s41467-025-60443-8","energy harvester","use of energy from water/fluid","","ABS","PVC","copper","649 V","109 mA","","","","","","50 Hz"
"Sun, Hao","2025-07-01","Impedance decoupling strategy to enhance the real-time powering performance of TENG for multi-mode sensing","https://www.nature.com/articles/s41467-025-61166-6","10.1038/s41467-025-61166-6","sensor","","","polyamide","PVDF","copper","","","10 mW/cm2","","","","","8 Hz"
"Tang, Wei","2025-10-29","Rattle drum-inspired triboelectric nanogenerator with enhanced output using charge dispatch and magnetic repulsion pendulum","https://www.nature.com/articles/s41467-025-64575-9","10.1038/s41467-025-64575-9","energy harvester","use of energy from water/fluid","contact-separation","","","gold","","","136.74 W m−3","","","","","0.4 Hz"
"Wang, Yang","2017-11-22","Triboelectric nanogenerators as flexible power sources","https://www.nature.com/articles/s41528-017-0007-8","10.1038/s41528-017-0007-8","sensor","tactile/motion sensor","contact-separation","nylon","silicone rubber","copper","500 V","150 μA","500 W/m2","","35.35 μC/m2","","","0.45 Hz"
"García Núñez, Carlos","2019-01-04","Energy autonomous electronic skin","https://www.nature.com/articles/s41528-018-0045-x","10.1038/s41528-018-0045-x","energy harvester","use of energy from water/fluid","","","PDMS","aluminium","","","500 W/m2","10 mA/cm2","0.4 mC/cm2","","","1 Hz"
"Zhang, Zixuan","2020-10-26","Deep learning-enabled triboelectric smart socks for IoT-based gait analysis and VR applications","https://www.nature.com/articles/s41528-020-00092-7","10.1038/s41528-020-00092-7","sensor","tactile/motion sensor","contact-separation","wood","silicone rubber","","5 V","","","","","","","2 Hz"
"Xu, Peng","2022-04-25","A bio-inspired and self-powered triboelectric tactile sensor for underwater vehicle perception","https://www.nature.com/articles/s41528-022-00160-0","10.1038/s41528-022-00160-0","sensor","tactile/motion sensor","contact-separation","","FEP","","0.73 V","2.75 nA","","","","","","0.8 Hz"
"Xiang, Shengxin","2022-07-18","Deep learning-enabled real-time personal handwriting electronic skin with dynamic thermoregulating ability","https://www.nature.com/articles/s41528-022-00195-3","10.1038/s41528-022-00195-3","sensor","tactile/motion sensor","contact-separation","human skin","","","228 V","3.82 μA","","","","","","6 Hz"
"Wang, Xinyi","2022-11-21","Biocompatible and breathable healthcare electronics with sensing performances and photothermal antibacterial effect for motion-detecting","https://www.nature.com/articles/s41528-022-00228-x","10.1038/s41528-022-00228-x","sensor","tactile/motion sensor","","human skin","PDMS","silver","","","0.27 W·cm−2","","","","",""
"Liu, Yuanhao","2023-04-17","All-natural phyllosilicate-polysaccharide triboelectric sensor for machine learning-assisted human motion prediction","https://www.nature.com/articles/s41528-023-00254-3","10.1038/s41528-023-00254-3","sensor","tactile/motion sensor","contact-separation","","PDMS","copper","","","120 mW m−2","","","","","1 Hz"
"Zhang, Jianhong","2024-09-30","Body-worn and self-powered flexible optoelectronic device for metronomic photodynamic therapy","https://www.nature.com/articles/s41528-024-00345-9","10.1038/s41528-024-00345-9","sensor","tactile/motion sensor","","","PDMS","copper","1100 V","100 μA","","","","","9 cm2","18 Hz"
"Deng, Hai-Tao","2024-11-26","Stretchable nanogenerator with micro-nano hierarchical interfaces for self-powered biometric authentication","https://www.nature.com/articles/s41528-024-00367-3","10.1038/s41528-024-00367-3","sensor","tactile/motion sensor","","aluminum","silicone rubber","silver","250 V","260 μA","17.2 μW/cm2","","","","","7 Hz"
"Hazarika, Dinku","2025-03-07","Ion dipole interaction and directional alignment enabled high piezoelectric property polyvinylidene fluoride for flexible electronics","https://www.nature.com/articles/s41528-025-00393-9","10.1038/s41528-025-00393-9","sensor","tactile/motion sensor","","","PVDF","aluminum","12 V","8 µA","","","","electrode 50 µm ","","5 Hz"
"Chen, Binjie","2025-06-14","Flexible piezoelectrics: integration of sensing, actuating and energy harvesting","https://www.nature.com/articles/s41528-025-00432-5","10.1038/s41528-025-00432-5","energy harvester","use of energy from motion","","mica","silicone rubber","platinum","209 V","","750 μW/cm2","","13 μC/cm2","","",""
"Shakibi, Reyhaneh","2025-08-25","Aesthetic, wire-free and bioresorbable dermal tattoo TENG system for self-powered on-the-go biomedical applications","https://www.nature.com/articles/s41528-025-00473-w","10.1038/s41528-025-00473-w","sensor","tactile/motion sensor","contact-separation","keratin","silicone rubber","copper","","110 μA","900 mW/m²","","","","2 cm × 5 cm","10 Hz"
"Wu, Menzhen","2022-08-27","A hybrid triboelectric nanogenerator for enhancing corrosion prevention of metal in marine environment","https://www.nature.com/articles/s41529-022-00272-y","10.1038/s41529-022-00272-y","energy harvester","use of energy from water/fluid","contact-separation","","","platinum","88.9 V","399 μA","","","","electrode 15 μm tribonegative layer 100 μm ","0.79 cm2","1 Hz"
"Xiang, Tengfei","2025-08-23","Design of F-ZIF-67/PDMS-based triboelectric nanogenerator for enhanced cathodic protection","https://www.nature.com/articles/s41529-025-00662-y","10.1038/s41529-025-00662-y","energy harvester","use of energy from motion","contact-separation","aluminum","PDMS","copper","187.14 V","37.46 μA","","","","electrode 200 μm ","","10⁵ Hz"
"Liu, Ruiyuan","2022-05-12","Flexible self-charging power sources","https://www.nature.com/articles/s41578-022-00441-0","10.1038/s41578-022-00441-0","energy harvester","use of energy from water/fluid","contact-separation","polystyrene","polystyrene","graphene","1 V","","50 mW cm−2","","250 μC cm−2","","",""
"Fuh, Yiin Kuen","2017-07-28","Self-Powered Pressure Sensor with fully encapsulated 3D printed wavy substrate and highly-aligned piezoelectric fibers array","https://www.nature.com/articles/s41598-017-07360-z","10.1038/s41598-017-07360-z","sensor","tactile/motion sensor","","","PVDF","Cu","7 V","110 nA","","","","","4.5 cm × 3 cm",""
"Jin, Liangmin","2017-09-05","Self-powered Real-time Movement Monitoring Sensor Using Triboelectric Nanogenerator Technology","https://www.nature.com/articles/s41598-017-10990-y","10.1038/s41598-017-10990-y","sensor","","","aluminum","FEP","aluminum","130 V","7.8 µA","","","","","3 cm2","2 Hz"
"Ahmed, Abdelsalam","2017-12-07","Self-adaptive Bioinspired Hummingbird-wing Stimulated Triboelectric Nanogenerators","https://www.nature.com/articles/s41598-017-17453-4","10.1038/s41598-017-17453-4","energy harvester","use of energy from wind","contact-separation","","fluorinated ethylene propylene","Al","","","0.3 W m−2","","","","",""
"Chandrashekar, Bananakere Nanjegowda","2019-03-08","A Universal Stamping Method of Graphene Transfer for Conducting Flexible and Transparent Polymers","https://www.nature.com/articles/s41598-019-40408-w","10.1038/s41598-019-40408-w","energy harvester","use of energy from water/fluid","contact-separation","","","graphene","0.008 V","","","","","","","46 Hz"
"Chung, Moon Hyun","2019-04-29","Enhanced output performance on LbL multilayer PVDF-TrFE piezoelectric films for charging supercapacitor","https://www.nature.com/articles/s41598-019-43098-6","10.1038/s41598-019-43098-6","","","","","PVDF","Au","34 V","","7.8 mW/m2","","","electrode 160 nm ","","1 Hz"
"Bhatia, Divij","2019-06-03","Continuous scavenging of broadband vibrations via omnipotent tandem triboelectric nanogenerators with cascade impact structure","https://www.nature.com/articles/s41598-019-44683-5","10.1038/s41598-019-44683-5","energy harvester","use of energy from water/fluid","contact-separation","","","aluminum","14 V","","","","","","3.5 cm × 3.5 cm","50 Hz"
"Ejehi, Faezeh","2020-04-30","Graphene Oxide Papers in Nanogenerators for Self-Powered Humidity Sensing by Finger Tapping","https://www.nature.com/articles/s41598-020-64490-7","10.1038/s41598-020-64490-7","sensor","","contact-separation","quartz","Kapton","aluminum","870 V","90 µA","1.3 W/m2","","","","50 cm2","2 Hz"
